ID,Nombre,Apellidos,Provincia
1558,Ezequiel,Posada Uría,Valladolid
1559,Ezequiel,Tamayo Briones,Melilla
1560,Nicolás,Girón Riera,Castellón
1561,Emiliano,Jurado Carrillo,Las Palmas
1562,Odalys,Moya Jaume,Las Palmas
1563,Arturo,Aguado Hervás,Almería
1564,Jimena,Sala Gámez,León
1565,Héctor,Elorza Ariza,Sevilla
1566,Irene,Ocaña Bonilla,Santa Cruz de Tenerife
1567,Espiridión,Batalla Maza,Guipúzcoa
1568,Leyre,Abascal Villar,Cádiz
1569,Guillermo,Moles Carreras,Madrid
1570,Benigna,Villena Villar,Granada
1571,Sandalio,Patiño Pedrero,Gerona
1572,Lorenza,Bárcena Briones,Valencia
1573,Esther,Aranda Folch,Sevilla
1574,Gabino,Aznar Macías,Madrid
1575,Ruth,Fábregas Balaguer,Ávila
1576,Gil,Fuente Batlle,Granada
1577,Amelia,Alba Vendrell,Burgos
1578,Ángela,Boix Salcedo,Zamora
1579,Jafet,Español Lloret,Jaén
1580,Filomena,Zorrilla Ramirez,Teruel
1581,Simón,Guijarro Sanabria,Lugo
1582,Paca,Martin Morán,Pontevedra
1583,Rufino,Jáuregui Pedraza,Sevilla
1584,Iván,Arévalo Lucena,Guadalajara
1585,Azahar,Guerrero Medina,León
1586,Ignacio,Carbó Iglesias,Badajoz
1587,Primitiva,Díaz Román,Navarra
1588,Silvio,Lara Sureda,Sevilla
1589,Martina,Oliver Peñas,Ávila
1590,Andrés,Lucas Jódar,Córdoba
1591,Adrián,Pacheco Marí,Ávila
1592,Ignacio,Girona Roca,Jaén
1593,Alberto,Río Carbó,Baleares
1594,Carina,Ordóñez Calvo,Valladolid
1595,Samanta,Álvaro Pujadas,Málaga
1596,Charo,Alemán Cabeza,Guadalajara
1597,Jose Carlos,Catalán Mínguez,Jaén
1598,Roxana,Jaume Armas,Cantabria
1599,Miguel Ángel,Serrano Arnaiz,Sevilla
1600,Ale,Rocamora Torrent,Barcelona
1601,Rita,Noriega Toledo,Las Palmas
1602,Ascensión,Barroso Chaves,Ciudad Real
1603,Salomé,Luís Duque,Ceuta
1604,Rodrigo,Codina Cuervo,Las Palmas
1605,Raúl,Pomares Velasco,Valencia
1606,Rosalina,Chacón Mascaró,Cádiz
1607,Hipólito,Armengol Armengol,Baleares
1608,Celestina,Goicoechea Piquer,Guipúzcoa
1609,Bernardino,Cervantes Lumbreras,Lugo
1610,Jose Carlos,Lara Marquez,Vizcaya
1611,Magdalena,Roura Olmedo,Santa Cruz de Tenerife
1612,Febe,Franco Romero,Asturias
1613,Guiomar,Moles Berrocal,Zaragoza
1614,Manu,Zurita Elorza,Madrid
1615,Natalio,Bertrán Estévez,Baleares
1616,Adoración,Mena Calvo,Toledo
1617,Pilar,Marqués Mayoral,Jaén
1618,Jose Manuel,Mercader Roig,Zaragoza
1619,Camila,Carbajo Ruiz,Madrid
1620,Jessica,Cruz Esteban,Salamanca
1621,Coral,Ayuso Ángel,Melilla
1622,Godofredo,Toledo Izaguirre,Tarragona
1623,Belén,Huertas Olmo,Segovia
1624,Evangelina,Lasa Pascual,Alicante
1625,Juliana,Soria Pino,Murcia
1626,Anna,Zapata Marín,Salamanca
1627,Clotilde,Giménez Vilalta,Teruel
1628,Nicolás,Cabrero Gordillo,Huesca
1629,Clímaco,Camacho Polo,Huesca
1630,Valentina,Piña Nieto,Toledo
1631,Delfina,Alcázar Lobato,Salamanca
1632,Luis Miguel,Donoso Almansa,Burgos
1633,Luis Miguel,Flor Quero,Ciudad Real
1634,Cristina,Bernat Roda,Córdoba
1635,Adriana,Cervantes Luque,Zaragoza
1636,Rita,Tomé Benitez,Las Palmas
1637,Belen,Cantón Ramón,Ceuta
1638,Dalila,Ferrando Ochoa,Guadalajara
1639,Julián,Ramis Cazorla,Burgos
1640,Etelvina,Carretero Reyes,Guipúzcoa
1641,Heriberto,Abellán Oller,Ceuta
1642,Erasmo,Álvarez Vélez,Las Palmas
1643,Teresa,Zabala Galvez,Zamora
1644,Desiderio,Fiol Bertrán,Palencia
1645,Estefanía,Agustín Montenegro,Pontevedra
1646,Alejandro,Anaya Arribas,Cuenca
1647,Carmelita,Porcel Prado,Valladolid
1648,Pancho,Figueroa Arenas,Zaragoza
1649,Amado,Salcedo Espejo,Santa Cruz de Tenerife
1650,Anita,Casares Doménech,Álava
1651,Luciana,Alcalde Agudo,Córdoba
1652,Adriana,Torralba Serrano,Valencia
1653,Ruth,Guzman Caballero,Castellón
1654,Coral,Perelló Rios,Tarragona
1655,Rosa María,Aparicio Cabanillas,Segovia
1656,Martirio,Sandoval Gutierrez,Burgos
1657,Charo,Almansa Galvez,Melilla
1658,Rosalva,Enríquez Maestre,Lugo
1659,Ibán,Morán Mendoza,Lérida
1660,Alonso,Blanca Marti,Navarra
1661,Ámbar,Jara Verdú,Baleares
1662,Joan,Piñeiro Sala,Burgos
1663,Eusebio,Caro Millán,Jaén
1664,Azahar,Blanch Balaguer,Madrid
1665,Calista,Paredes Mateu,La Rioja
1666,Adelia,Amo Montoya,Ceuta
1667,Gaspar,Serrano Aliaga,Guipúzcoa
1668,Mohamed,Salom Alemany,Melilla
1669,Jose Ramón,Palomares Romero,Burgos
1670,Desiderio,Sebastián Alarcón,Las Palmas
1671,Manuela,Pedrero Águila,Cuenca
1672,Vidal,Pedrero Carvajal,Zaragoza
1673,Matilde,Sala Calatayud,Almería
1674,Judith,Romeu Guzman,Segovia
1675,Esther,Bernad Álvarez,Pontevedra
1676,Magdalena,Anglada Atienza,Álava
1677,Anacleto,Aguirre Company,Badajoz
1678,Diana,Tejera Peláez,Castellón
1679,Teobaldo,Soler Zaragoza,Tarragona
1680,Abilio,Marin Izaguirre,Barcelona
1681,Aurelio,Ferrera Bas,Baleares
1682,Judith,Nogués Abad,Santa Cruz de Tenerife
1683,Nazaret,Ferrándiz Ribas,Baleares
1684,Juanito,Frías Quesada,Sevilla
1685,Yago,Tovar Sancho,Guipúzcoa
1686,Cayetano,Higueras Feliu,Sevilla
1687,Ovidio,Mármol Cañellas,Huesca
1688,Lorenzo,Gámez Segura,Sevilla
1689,Ernesto,Sanchez Barranco,Granada
1690,Candelas,Sevillano León,Lugo
1691,Jose Carlos,Villanueva Gordillo,Burgos
1692,Xavier,Cánovas Manjón,Álava
1693,Fermín,Romeu Arenas,Castellón
1694,Fito,Bolaños Trujillo,Zaragoza
1695,Santos,Saavedra Velasco,Navarra
1696,Octavio,Barrena Bermúdez,Barcelona
1697,Wálter,Villanueva Villegas,Sevilla
1698,Ainara,Aguirre Bartolomé,Murcia
1699,Nacho,Nevado Piñeiro,Madrid
1700,Fernando,Cadenas Soto,La Rioja
1701,Cloe,Rovira Pinto,Asturias
1702,Glauco,Palacio Pardo,Huelva
1703,Yésica,Batlle Saavedra,Sevilla
1704,Melchor,Verdú Villaverde,Valencia
1705,Sigfrido,Rocha Ibáñez,Almería
1706,Julieta,Oliva Saez,León
1707,Salvador,Ferrándiz Cornejo,Las Palmas
1708,Francisca,Fuente Baena,Jaén
1709,Luciano,Bermejo Fiol,Almería
1710,Emilia,Cadenas Moll,Guadalajara
1711,Rolando,Baena Alberto,Burgos
1712,Octavio,Tejedor Morcillo,Murcia
1713,Jenny,Carbonell Arranz,Jaén
1714,Azeneth,Azcona Benavides,Pontevedra
1715,Catalina,Garmendia Alfaro,Albacete
1716,Amador,Merino Castro,Sevilla
1717,Cristian,Ortega Palomares,Segovia
1718,Wilfredo,Pinedo Baró,Granada
1719,Marisol,Cervera Pavón,Santa Cruz de Tenerife
1720,Maricruz,Benavent Fernández,Albacete
1721,Ángela,Arias Lopez,Gerona
1722,Gaspar,Camino Cortés,Valencia
1723,María Carmen,Dominguez Alba,Huelva
1724,Morena,Lasa Alcántara,Cádiz
1725,Adelaida,Villalba Pozuelo,Barcelona
1726,Ezequiel,Verdú Corbacho,Cantabria
1727,Aureliano,Díez Salinas,Huesca
1728,Leocadio,Cepeda Perea,Zaragoza
1729,Renato,Porta Elorza,Soria
1730,Amalia,Aller Tamarit,Toledo
1731,Odalys,Llano Noguera,Sevilla
1732,Germán,Valenzuela Galán,Palencia
1733,Nazaret,Perera Conde,Almería
1734,Tomasa,Llamas Badía,Almería
1735,Alcides,Bravo Coello,Palencia
1736,Cebrián,Gabaldón Asenjo,Cuenca
1737,Maximino,Vera Escudero,Málaga
1738,Valero,Calzada Marti,Cuenca
1739,Valentín,Pastor Arana,Lugo
1740,Juliana,Haro Cantero,Granada
1741,Noemí,Roda Caballero,Ávila
1742,Marc,Simó Benet,Lérida
1743,Marc,Asensio Palacio,Álava
1744,Francisco Javier,Rivero Ojeda,Gerona
1745,Tania,Agustín Cardona,Lérida
1746,Sancho,Domínguez Torre,Toledo
1747,Luis Miguel,Rodríguez Bosch,La Coruña
1748,Ruben,Roselló Pino,Gerona
1749,Ema,Cerezo Collado,Murcia
1750,Cayetano,Pedro Dominguez,León
1751,Obdulia,Castrillo Quintanilla,Ávila
1752,Rosa,Castillo Palau,León
1753,Pepito,Paz Franch,Burgos
1754,Silvio,Mateu Román,Albacete
1755,Hilario,Asensio Ruano,Pontevedra
1756,Estela,Casas Hidalgo,Tarragona
1757,Alberto,Tudela Bolaños,Baleares
1758,Haydée,Romeu Ureña,Orense
1759,Erasmo,Vazquez Saura,Valladolid
1760,Genoveva,Saez Prat,Valencia
1761,Pepita,Velasco Batlle,Valladolid
1762,Valero,Clemente Calzada,Segovia
1763,Imelda,Robles Garriga,León
1764,Primitivo,Torrijos Sureda,Castellón
1765,Natalia,Cuéllar Cantón,Huesca
1766,Nico,Bernal Bas,Lérida
1767,Ximena,Torrecilla Quiroga,Vizcaya
1768,Victoriano,Santos Bayo,Gerona
1769,Eric,Vilar Miguel,Zamora
1770,Marco,Urrutia Ángel,Castellón
1771,Emelina,Salvador Lopez,Soria
1772,Matilde,Alvarez Guzmán,Ciudad Real
1773,Dominga,Escolano Ruiz,Soria
1774,Maxi,Cueto Calvet,Albacete
1775,Marciano,Sanjuan Bas,Gerona
1776,Arsenio,Sierra Coll,Ciudad Real
1777,Aroa,Giner Montenegro,Melilla
1778,Cayetana,Otero Cerezo,Orense
1779,Delia,Arana Marti,Cáceres
1780,Gabriela,Prada Ángel,Gerona
1781,Asdrubal,Murcia Exposito,Córdoba
1782,Ruperta,Vaquero Figueras,Guipúzcoa
1783,Anastasio,Lorenzo Zapata,Córdoba
1784,Calixta,Cortina Berenguer,Melilla
1785,Clemente,Calleja Giralt,Álava
1786,Macaria,Clemente Martorell,Pontevedra
1787,Ani,Torrijos Melero,Toledo
1788,Adoración,Ríos Perales,Lérida
1789,Adela,Valentín Cortes,Orense
1790,Balduino,Bauzà Oliva,Badajoz
1791,Ámbar,Madrigal Prat,Valladolid
1792,Josefa,Pereira Morante,Orense
1793,Lázaro,Villalba Giménez,Burgos
1794,Ibán,Leon Carvajal,Salamanca
1795,Carlota,Arnaiz Tamarit,Navarra
1796,Gloria,Yáñez Alegre,Melilla
1797,Pelayo,Comas Fiol,La Coruña
1798,Adelina,Antúnez Manjón,Cáceres
1799,Lina,Cobo Jover,Guadalajara
1800,Luis,Mayoral Araujo,Salamanca
1801,Marcia,Company Blanco,Baleares
1802,Maricela,Ferrando Casanova,Barcelona
1803,Yaiza,Santiago Verdejo,Gerona
1804,Amor,Cámara Gomis,Guadalajara
1805,Amarilis,Sandoval Mir,Zamora
1806,Renata,Piquer Sanz,Navarra
1807,Gracia,Ávila Arce,Palencia
1808,Eladio,Escribano Tomás,Guipúzcoa
1809,Fernando,Cañellas Galván,Guipúzcoa
1810,Emperatriz,Cabezas Quintana,Álava
1811,Rafaela,Mancebo Múgica,Málaga
1812,Ileana,Cañellas Valero,Granada
1813,Azahara,Suárez Almagro,Salamanca
1814,Noemí,Blázquez Baena,Málaga
1815,Bonifacio,Sobrino Verdugo,Lérida
1816,Fabricio,Sureda Losa,Valencia
1817,Narciso,Sanabria Marí,Valencia
1818,Carmina,Barros Iriarte,Palencia
1819,Marina,Vilanova Tomas,Las Palmas
1820,Amanda,Valverde Figueras,Sevilla
1821,Ainara,Sobrino Murcia,Soria
1822,Anselma,Barceló Domínguez,Barcelona
1823,Eric,Viñas Gárate,Lugo
1824,Francisca,Nevado Pol,Zaragoza
1825,Jose Manuel,Español Berenguer,Castellón
1826,Gustavo,Jurado Mendoza,Albacete
1827,Ángela,Pol Gallart,Málaga
1828,Eligia,Doménech Exposito,Orense
1829,Leocadia,Carballo Arnal,Álava
1830,Morena,Alegria Aguado,Valencia
1831,Yéssica,Patiño Nicolau,Álava
1832,Leonardo,Gaya Morell,Tarragona
1833,Otilia,Téllez Peiró,Guadalajara
1834,Hortensia,Chaves Taboada,Cádiz
1835,Lupe,Palomar Vilaplana,Castellón
1836,Encarna,Arellano Niño,León
1837,Manu,Priego Salgado,Cuenca
1838,Charo,Guijarro Fábregas,Albacete
1839,Santiago,Lago España,Toledo
1840,Eulalia,Juliá Vila,Segovia
1841,Luis Ángel,Lara Cueto,Cuenca
1842,Amalia,Medina Morata,Valladolid
1843,Felix,Tomás Oliver,Badajoz
1844,Tiburcio,Quiroga Puga,León
1845,Anastasia,Moliner Corbacho,Lérida
1846,Emilia,Galan Gallego,Córdoba
1847,Esperanza,Infante Urrutia,Granada
1848,Luisina,Arjona Cerezo,Jaén
1849,Toni,Martin Llanos,Guipúzcoa
1850,Inmaculada,Gálvez Reguera,Soria
1851,Herminio,Alcolea Guerra,Baleares
1852,Martina,Arribas Fiol,Las Palmas
1853,Sara,Figuerola Hernando,Valencia
1854,Alma,Castro Jara,Valladolid
1855,Eliseo,Machado Viña,La Coruña
1856,Joaquín,Simó Frutos,Ceuta
1857,Miguel Ángel,Ramis Colom,Guipúzcoa
1858,Rico,Arnau Zabala,Barcelona
1859,Luciano,Blazquez León,Asturias
1860,Consuela,Arnal Goñi,Pontevedra
1861,Genoveva,Roura Tejero,Ciudad Real
1862,Andrea,Samper Osuna,Tarragona
1863,Tania,Tena Arenas,Almería
1864,Jovita,Simó Azcona,Granada
1865,Juanito,Trillo Villalonga,Melilla
1866,Elodia,Neira Ripoll,Zamora
1867,Brunilda,Ferrera Rosell,Salamanca
1868,Jose Manuel,Carretero Puga,Soria
1869,Marino,Portillo Plaza,Almería
1870,Custodia,Barrera García,Córdoba
1871,Ana Sofía,Pinilla Barba,La Coruña
1872,Piedad,Fernández Cabrero,La Rioja
1873,Ruperta,Arteaga Reyes,Ceuta
1874,Roberta,Clavero Conesa,Toledo
1875,Brígida,Serra Peña,Cáceres
1876,Haroldo,Asensio Carreño,Madrid
1877,Nerea,Alberola Blanes,Guadalajara
1878,Olalla,Roman Murcia,Sevilla
1879,Miguel,Alvarez Salamanca,Huesca
1880,Candela,Villena Castelló,Albacete
1881,Etelvina,Carrillo Maldonado,Badajoz
1882,Lupe,Iriarte Cabañas,Almería
1883,Cristóbal,Martín Duarte,Burgos
1884,Glauco,Fuertes Vilanova,Gerona
1885,Mateo,Prieto Gibert,Murcia
1886,Jacinto,Silva Canales,Melilla
1887,Lázaro,Baños Soria,Tarragona
1888,Graciano,Sans Mariño,Alicante
1889,Malena,Yuste Cuervo,Valladolid
1890,Sigfrido,Donoso Aguirre,Cáceres
1891,Leonel,Tirado Sola,Melilla
1892,Cristina,Leal Correa,Lugo
1893,Catalina,Arana Diego,Málaga
1894,Ágata,Marcos Llorente,Tarragona
1895,Rolando,Cuenca Roura,Álava
1896,Rosa,Sancho Ochoa,Álava
1897,Francisca,Pinilla Catalán,Las Palmas
1898,Eustaquio,Borrás Macias,Ceuta
1899,Marisol,Arnaiz Pineda,Salamanca
1900,Bernardo,Campoy Jover,Teruel
1901,Fabiola,Ureña Guillén,Córdoba
1902,Leandra,Trujillo Millán,Toledo
1903,Plácido,Roma Montenegro,Granada
1904,Marcio,Castell Ferrero,Córdoba
1905,Aníbal,Fajardo Oller,Tarragona
1906,Saturnina,Talavera Pardo,Cádiz
1907,Renato,Salas Merino,Córdoba
1908,Berto,Rey Balaguer,Guadalajara
1909,Patricia,Carrillo Perea,Cuenca
1910,Ceferino,Echeverría Iborra,Baleares
1911,Aurelia,Leon Baños,Álava
1912,Lorenzo,Peralta Mulet,Tarragona
1913,Dorita,Vara Ortiz,Soria
1914,Hipólito,Girona Prado,Lugo
1915,Nieves,Antón Escudero,Zamora
1916,Albino,Rincón Domínguez,León
1917,Fabiola,Blanco Mínguez,Cuenca
1918,Calista,Bayón Terrón,Granada
1919,Nico,Ramirez Berenguer,Guadalajara
1920,Olalla,Serra Cervera,Murcia
1921,José,Andrés Hidalgo,La Rioja
1922,Elías,Luna Poza,Asturias
1923,Américo,Pons Suárez,Pontevedra
1924,Yolanda,Becerra Benet,Murcia
1925,José Ángel,Diego Valdés,Lérida
1926,Lucas,Segarra Capdevila,Ávila
1927,Lara,Torrijos Roldán,Vizcaya
1928,Nazaret,Llanos Peiró,Badajoz
1929,Alfredo,Priego Moya,Huesca
1930,Estefanía,Luz Cuenca,Cáceres
1931,Xavier,Toledo Nadal,Sevilla
1932,Elodia,Lastra Vilanova,Pontevedra
1933,Lorena,Badía Simó,Huesca
1934,Adelia,Calderón Pujadas,Ceuta
1935,Angelina,Mora Cervantes,Badajoz
1936,Selena,Badía Cabezas,Cáceres
1937,Cristóbal,Barragán Aguado,Huesca
1938,Andrés,Olivares Franch,Ávila
1939,Fulgencio,Cobo Casas,Las Palmas
1940,Luna,Peña Pérez,Cádiz
1941,Hipólito,Luna Noriega,Murcia
1942,Elpidio,Rueda Galván,Gerona
1943,Otilia,Reig Cisneros,Zaragoza
1944,Salud,Amores Paredes,Cantabria
1945,Édgar,Ramos Santana,Sevilla
1946,Ariel,Antón Heredia,Gerona
1947,Luna,Tomas Arteaga,Valladolid
1948,Juana,Román Valentín,Huelva
1949,Maxi,Querol Oller,Melilla
1950,Caridad,Monreal Company,Asturias
1951,Fanny,Amaya Pino,Huelva
1952,Victoria,Tello Cordero,Las Palmas
1953,Marcela,Diaz Múñiz,Madrid
1954,Edelmira,Real Llamas,Guipúzcoa
1955,Bernardo,Redondo Hernando,Zamora
1956,Vicenta,Tejera Dávila,Ávila
1957,Samu,Flor Revilla,Navarra
1958,Alfredo,Nieto Mármol,Zaragoza
1959,Consuela,Valle Garay,Ávila
1960,Nando,Bosch Campo,Valladolid
1961,Reyna,Arana Rey,Vizcaya
1962,Rosalina,Cordero Rodrigo,Salamanca
1963,Manu,Miralles Izquierdo,Teruel
1964,Francisco Javier,Miguel Gilabert,Guipúzcoa
1965,Guadalupe,Acuña Batalla,Soria
1966,Liliana,Nieto Huertas,Orense
1967,Nazario,Ramis Badía,Cuenca
1968,Estefanía,Lladó Marti,Navarra
1969,Viviana,Perelló Baquero,Madrid
1970,Jerónimo,Estrada Vilaplana,Guadalajara
1971,América,Rozas Guzman,La Coruña
1972,Ruy,Morillo Moliner,Murcia
1973,Leocadio,Solís Pi,Sevilla
1974,Jennifer,Pallarès Guzman,Navarra
1975,Rosario,Carlos Aguado,Valladolid
1976,Fabiola,Gutierrez Pellicer,Valencia
1977,Manu,Gibert Mosquera,Asturias
1978,Margarita,Galiano Quesada,Orense
1979,Martina,Yáñez Mosquera,Córdoba
1980,Plácido,Pascual Nieto,Barcelona
1981,Haroldo,Andrés Rodríguez,Guadalajara
1982,Macarena,Requena Sacristán,Palencia
1983,Olga,Armas Araujo,Zamora
1984,Obdulia,Escolano Puente,Pontevedra
1985,Araceli,Orozco Noriega,Guadalajara
1986,Coral,Morillo Esteban,Tarragona
1987,Poncio,Fortuny Pagès,Orense
1988,Estela,Macias Escrivá,Las Palmas
1989,Leandro,Posada Acosta,Gerona
1990,Nicolasa,Cordero Alegre,Palencia
1991,Donato,Tomé Márquez,Soria
1992,Isidoro,Corbacho Sanmiguel,La Rioja
1993,Lalo,Beltrán Ramis,Santa Cruz de Tenerife
1994,Luís,Huertas Gomila,Vizcaya
1995,Oriana,Benavides Puente,Huelva
1996,Aurelio,Nogués Llano,Guipúzcoa
1997,Hernando,Palacios Catalán,Asturias
1998,Timoteo,Perera Barco,Guadalajara
1999,Alba,Riba Garcia,Segovia
2000,Anselmo,Plaza Bas,Ceuta
2001,Odalys,Guillén Alvarez,Álava
2002,Benjamín,Casares Peralta,Guipúzcoa
2003,Eligio,Santamaria Bru,Zamora
2004,Ciro,Pastor Arregui,Orense
2005,Valerio,Duarte Bonet,Ciudad Real
2006,Jerónimo,Pera Aliaga,Las Palmas
2007,Gala,Araujo Carreras,Segovia
2008,Edmundo,Ríos Ortiz,León
2009,Fernanda,Alberdi Jáuregui,Valencia
2010,Alexandra,Vilanova Escalona,Granada
2011,Rosalva,Torrent Ojeda,Salamanca
2012,Noelia,Villanueva Azcona,Málaga
2013,Bárbara,Mate Coronado,Zamora
2014,Ignacio,Águila Anglada,Zaragoza
2015,Malena,Riquelme Valenzuela,Granada
2016,Ulises,Tejada Riera,Córdoba
2017,Curro,Alvarado Patiño,Lugo
2018,Gerardo,Tejero Serra,Santa Cruz de Tenerife
2019,Ariadna,Bellido Guardiola,Segovia
2020,Régulo,Gomez Torres,La Rioja
2021,Fito,Llorens Naranjo,Murcia
2022,Rosa María,Abellán Chaves,Valladolid
2023,Jonatan,Cabezas Arce,Navarra
2024,Begoña,Serra Montesinos,Barcelona
2025,Isidora,Ribes Coloma,Navarra
2026,Olivia,Llabrés Moles,Burgos
2027,Manu,Lopez Font,Baleares
2028,Nydia,Valentín Acero,Toledo
2029,Verónica,Coll Lledó,Lérida
2030,Berta,Dalmau Poza,Granada
2031,Olegario,Luján Iglesias,Albacete
2032,Arturo,Vendrell Blanch,Lugo
2033,Morena,Salcedo Rueda,Álava
2034,Juan Bautista,Duarte Rius,Cantabria
2035,Rosalina,Gallardo Abellán,Albacete
2036,Débora,Berrocal Murcia,Las Palmas
2037,Rosario,Coca Salvador,Jaén
2038,Carla,Valbuena Trujillo,Sevilla
2039,Marianela,Escalona Roselló,Lérida
2040,Eufemia,Landa Roldán,Huesca
2041,Vasco,Crespo Marqués,La Rioja
2042,Bibiana,Santamaria Torre,Málaga
2043,Rubén,Menéndez Valverde,Valladolid
2044,Florentino,Cañas Roura,Vizcaya
2045,Marita,Abad Rosa,Lérida
2046,Marianela,Llamas Medina,Badajoz
2047,Tomás,Olmedo Roura,Cantabria
2048,Sabina,Cámara Camacho,Toledo
2049,Pastor,Quiroga Díaz,Huesca
2050,Miriam,Dueñas Larrea,Santa Cruz de Tenerife
2051,Griselda,Aguirre Gascón,Almería
2052,Marciano,Cifuentes Quero,Ceuta
2053,José Antonio,Francisco Torrijos,Cáceres
2054,Narcisa,Sanchez Taboada,Palencia
2055,Ascensión,Romero Rius,Toledo
2056,Feliciano,Carbajo Sevillano,Granada
2057,Isaura,Perales Buendía,Albacete
2058,Adelaida,Andrés Mas,Madrid
2059,Lina,Talavera Lara,Lugo
2060,Adalberto,Morante Ruano,Pontevedra
2061,Poncio,Cabanillas Grande,La Coruña
2062,Humberto,Moya Boada,Baleares
2063,Rubén,Hoz Fajardo,Guadalajara
2064,Teodoro,Montalbán Llopis,Castellón
2065,Caridad,Ferreras Collado,Melilla
2066,Bernardo,Villalobos Jerez,Castellón
2067,Eva,Paz Salinas,Vizcaya
2068,Jimena,Mármol Garmendia,Ciudad Real
2069,María Carmen,Franco Lladó,Teruel
2070,Íñigo,Botella Valenciano,Palencia
2071,Luis,Calatayud Casals,León
2072,Primitiva,Escobar Donaire,Málaga
2073,Onofre,Sans Guerra,Almería
2074,Eufemia,Barragán Vallejo,Ávila
2075,Darío,Cobo Palomino,Guadalajara
2076,Esteban,Cervantes Ferrer,Ciudad Real
2077,Luisa,Duque Bilbao,Melilla
2078,Etelvina,Salas Lobo,Segovia
2079,Olga,Verdejo Castejón,León
2080,Calixto,Guzman Moll,Córdoba
2081,Vanesa,Julián Castilla,Cádiz
2082,Flavia,Quintana Fajardo,Tarragona
2083,Mariano,Palau Blanes,Salamanca
2084,Manu,Andrés Cifuentes,Melilla
2085,Ruth,Monreal Morera,Guipúzcoa
2086,Eva María,Amat Múñiz,Ciudad Real
2087,Pascual,Sotelo Arnau,Albacete
2088,Bienvenida,Albero Falcó,Melilla
2089,Alejo,Tovar Cabrero,Sevilla
2090,Aurelia,Parra Pelayo,Ávila
2091,Hector,Peláez Redondo,Zamora
2092,José,Alarcón Adán,Las Palmas
2093,Maura,Español Heras,Baleares
2094,Visitación,Echevarría Agullo,Alicante
2095,Begoña,Barral Solé,La Rioja
2096,Bernardo,Anguita Peña,Madrid
2097,Dani,Folch Gonzalo,Cuenca
2098,Rosa,López Baena,Madrid
2099,Conrado,Pont Bru,Álava
2100,María Manuela,Rovira Gargallo,Burgos
2101,Jose Ignacio,Almansa Carmona,Barcelona
2102,Bautista,Cerdán Ródenas,Santa Cruz de Tenerife
2103,Arturo,Ugarte Mendoza,Cuenca
2104,José María,Villena Castañeda,Segovia
2105,Trinidad,Barral Miralles,Cantabria
2106,José,Vicente Giner,Jaén
2107,Aristides,Durán Tomé,Sevilla
2108,Flavio,Segovia Quirós,Alicante
2109,Pancho,Serna Abella,Córdoba
2110,Viviana,Checa Peláez,Málaga
2111,Albert,Otero Alvarez,Córdoba
2112,Fabiana,Caro Cuesta,Orense
2113,Jeremías,Campillo Vazquez,Guadalajara
2114,Adelia,Benavente Saura,Cádiz
2115,Carla,Briones Chaves,Navarra
2116,Pelayo,Tello Acuña,Pontevedra
2117,Nacio,Sanz Ruiz,Albacete
2118,Leocadia,Aliaga Pastor,Melilla
2119,Lara,Gutierrez Manso,Sevilla
2120,Bárbara,Llorens Requena,Santa Cruz de Tenerife
2121,Berta,Vergara Parejo,Pontevedra
2122,Gerardo,Nicolás Montaña,Soria
2123,Adán,Casado Tejero,Álava
2124,Teresa,Batlle Roman,Huelva
2125,Pía,Sevilla Valera,Palencia
2126,Cristian,Barros Alsina,Murcia
2127,Evaristo,Maestre Echeverría,Córdoba
2128,Milagros,Amorós Aliaga,Lérida
2129,Narcisa,Segura Peñas,Zamora
2130,Sigfrido,Mas Manrique,Badajoz
2131,Ámbar,Leal Bastida,Toledo
2132,Cosme,Pujadas Cortes,Sevilla
2133,Vilma,Bru Mateo,Palencia
2134,Marino,Abad Folch,Alicante
2135,Goyo,Garay Roca,Gerona
2136,Virgilio,Lamas Rovira,Valladolid
2137,Chucho,Luna Sosa,Castellón
2138,Fausto,Huerta Diaz,Badajoz
2139,Juanita,Herranz Mayoral,Ávila
2140,Nélida,Calderon Prat,Melilla
2141,Azahar,Priego Olivera,Teruel
2142,Azahar,Vara Iborra,Almería
2143,Celestina,Espada Segovia,Las Palmas
2144,Ernesto,Zabala Prado,León
2145,Aurora,Teruel Rincón,León
2146,Américo,Cabeza Chamorro,La Coruña
2147,Jovita,Real Sarabia,Vizcaya
2148,Josefa,Porta Alvarez,Valencia
2149,Paulino,Cobos Ayuso,Palencia
2150,Anselma,Hernandez Ortega,Madrid
2151,Daniel,Maestre Pla,Valencia
2152,Amor,Montesinos Alberdi,Murcia
2153,Aura,Atienza Aguiló,Madrid
2154,Marisela,Ariza Cabanillas,Cuenca
2155,Feliciano,Riera Gilabert,Álava
2156,Pilar,Español Millán,Palencia
2157,Odalis,Cañellas Gelabert,Guipúzcoa
2158,Clementina,Recio Palomo,Albacete
2159,Mayte,Jaume Bosch,Badajoz
2160,Maura,Piñeiro Marí,Valladolid
2161,Rosario,Heras Rovira,Toledo
2162,Ricardo,Carnero Garmendia,Vizcaya
2163,José,Aranda Castillo,Guipúzcoa
2164,Ale,Bru Exposito,Segovia
2165,Alicia,Morera Miró,Vizcaya
2166,Marcio,Infante Alonso,Gerona
2167,Jessica,Rosell Villalba,Ávila
2168,Judith,Berenguer Goicoechea,Valladolid
2169,Lucho,Gil Escudero,Huelva
